service_id,date,exception_type
1234567-MSHSAH05_ST5_5_HI2324-MSHSAH06_ST5_6_HI2324-MSHSAH07_ST5_7_HI2324-MSHSAH08_ST5_8_HI2324,20231230,1
1234567-MSHSAH05_ST5_5_HI2324-MSHSAH06_ST5_6_HI2324-MSHSAH07_ST5_7_HI2324-MSHSAH08_ST5_8_HI2324,20240106,1
1234567-MSHSAH05_ST5_5_HI2324-MSHSAH06_ST5_6_HI2324-MSHSAH07_ST5_7_HI2324-MSHSAH08_ST5_8_HI2324,20231226,1
1234567-MSHSAH05_ST5_5_HI2324-MSHSAH06_ST5_6_HI2324-MSHSAH07_ST5_7_HI2324-MSHSAH08_ST5_8_HI2324,20231227,1
1234567-MSHSAH05_ST5_5_HI2324-MSHSAH06_ST5_6_HI2324-MSHSAH07_ST5_7_HI2324-MSHSAH08_ST5_8_HI2324,20231228,1
1234567-MSHSAH05_ST5_5_HI2324-MSHSAH06_ST5_6_HI2324-MSHSAH07_ST5_7_HI2324-MSHSAH08_ST5_8_HI2324,20231229,1
1234567-MSHSAH05_ST5_5_HI2324-MSHSAH07_ST5_7_HI2324-MSHSAH08_ST5_8_HI2324,20231118,1
1234567-MSHSAH05_ST5_5_HI2324-MSHSAH07_ST5_7_HI2324-MSHSAH08_ST5_8_HI2324,20231125,1
1234567-MSHSAH05_ST5_5_HI2324-MSHSAH07_ST5_7_HI2324-MSHSAH08_ST5_8_HI2324,20231202,1
1234567-MSHSAH05_ST5_5_HI2324-MSHSAH07_ST5_7_HI2324-MSHSAH08_ST5_8_HI2324,20231230,1
1234567-MSHSAH05_ST5_5_HI2324-MSHSAH07_ST5_7_HI2324-MSHSAH08_ST5_8_HI2324,20240106,1
1234567-MSHSAH05_ST5_5_HI2324-MSHSAH07_ST5_7_HI2324-MSHSAH08_ST5_8_HI2324,20231226,1
1234567-MSHSAH05_ST5_5_HI2324-MSHSAH07_ST5_7_HI2324-MSHSAH08_ST5_8_HI2324,20231227,1
1234567-MSHSAH05_ST5_5_HI2324-MSHSAH07_ST5_7_HI2324-MSHSAH08_ST5_8_HI2324,20231228,1
1234567-MSHSAH05_ST5_5_HI2324-MSHSAH07_ST5_7_HI2324-MSHSAH08_ST5_8_HI2324,20231229,1
1234567-MSHSAH05_ST5_5_HI2324-MSHSAH06_ST5_6_HI2324-MSHSAH07_ST5_7_HI2324,20231118,1
1234567-MSHSAH05_ST5_5_HI2324-MSHSAH06_ST5_6_HI2324-MSHSAH07_ST5_7_HI2324,20231125,1
1234567-MSHSAH05_ST5_5_HI2324-MSHSAH06_ST5_6_HI2324-MSHSAH07_ST5_7_HI2324,20231202,1
1234567-MSHSAH05_ST5_5_HI2324-MSHSAH06_ST5_6_HI2324-MSHSAH07_ST5_7_HI2324,20231209,1
1234567-MSHSAH05_ST5_5_HI2324-MSHSAH06_ST5_6_HI2324-MSHSAH07_ST5_7_HI2324,20231216,1
1234567-MSHSAH05_ST5_5_HI2324-MSHSAH06_ST5_6_HI2324-MSHSAH07_ST5_7_HI2324,20231223,1
1234567-MSHSAH05_ST5_5_HI2324-MSHSAH06_ST5_6_HI2324-MSHSAH07_ST5_7_HI2324,20231230,1
1234567-MSHSAH05_ST5_5_HI2324-MSHSAH06_ST5_6_HI2324-MSHSAH07_ST5_7_HI2324,20240106,1
1234567-MSHDF04_ST6_4_HI2324-MSHDF05_ST6_5_HI2324-MSHDF07_ST6_7_HI2324,20231112,1
