route_id,trip_id,trip_headsign,service_id,direction_id,shape_id,wheelchair_accessible,bikes_allowed
A,28031570,"Le Pont-de-Claix, L'Etoile",12345-MEHLV04_ST8_4_HI2324-MEHW04_ST11_4_HI2324,0,SEM_A_3,1,2
C,28213303,"Gières, Plaine des Sports",1234567-MGHD02_ST6_2_HI2324,0,SEM_C_1,1,2
B,28074959,"Gières, Plaine des Sports",1234567-MGHS03_ST5_3_HI2324,0,SEM_B_1,1,2
7,27973440,"Échirolles, Comboire",12345-MSILV00_ST21_0_HI2324,1,SEM_C7_2,1,2
B,28181608,"Grenoble, Oxford",12345-MGHLV10_ST0_10_HI2324,1,SEM_B_2,1,2
B,28101874,"Grenoble, Oxford",12345-MGHLV14_ST0_14_HI2324,1,SEM_B_2,1,2
51,28026524,"Veurey-Voroize, Châtelard",12345-MFVLV09_ST21_9_HI2324,1,SEM_51_3,1,2
C,28105542,"Seyssins, Le Prisme",12345-MGHLV14_ST0_14_HI2324,1,SEM_C_2,1,2
E,28110880,"Grenoble, Louise Michel",12345-MGHLV07_ST0_7_HI2324-MGHLV09_ST0_9_HI2324-MGHLV10_ST0_10_HI2324-MGHLV11_ST0_11_HI2324-MGHLV13_ST0_13_HI2324,0,SEM_E_2,1,2
A,28109929,"Fontaine, La Poya",12345-MEHLV03_ST8_3_HI2324,1,SEM_A_4,1,2
16,27810275,"Corenc, Montfleury",1234567-MSHDF04_ST6_4_HI2324-MSHDF05_ST6_5_HI2324-MSHDF07_ST6_7_HI2324,0,SEM_16_1,1,2
48,28020312,"Claix, Cossey",12345-MFVLV09_ST21_9_HI2324,0,SEM_48_1,1,2
D,27955120,"Saint-Martin-d'Hères, Etienne Grappe",1234567-MGHD01_ST6_1_HI2324-MGHD02_ST6_2_HI2324,1,SEM_D_2,1,2
B,27946082,"Grenoble, Oxford",12345-MGHLV07_ST0_7_HI2324-MGHLV11_ST0_11_HI2324,1,SEM_B_2,1,2
C,27946970,"Seyssins, Le Prisme",12345-MGHLV07_ST0_7_HI2324-MGHLV09_ST0_9_HI2324,1,SEM_C_2,1,2
C,28256863,"Seyssins, Le Prisme",1234567-MGHS03_ST5_3_HI2324,1,SEM_C_2,1,2
B,27946058,"Grenoble, Oxford",12345-MGHLV07_ST0_7_HI2324-MGHLV11_ST0_11_HI2324,1,SEM_B_2,1,2
7,28219557,"Échirolles, Comboire",12345-MSHLVH02_ST8_2_HI2324-MSHLVH03_ST8_3_HI2324-MSHLW02_ST11_2_HI2324-MSHLW03_ST11_3_HI2324,1,SEM_C7_2,1,2
25,28086570,"Le Gua, Les Saillants",1234567-MAHS00_ST5_0_HI2324,0,SEM_25_1,1,2
20,27743354,"Seyssinet-Pariset, Seyssinet-Pariset Hôtel de Ville",12345-MSHLVH02_ST8_2_HI2324-MSHLVH03_ST8_3_HI2324-MSHLVH04_ST8_4_HI2324-MSHLW02_ST11_2_HI2324-MSHLW03_ST11_3_HI2324-MSHLW04_ST11_4_HI2324,0,SEM_20_3,1,2
A,28250788,"Le Pont-de-Claix, L'Etoile",12345-MEHLV05_ST8_5_HI2324-MEHW03_ST11_3_HI2324,0,SEM_A_3,1,2
3,28246015,"Échirolles, Centre du graphisme",12345-MEILV08_ST21_8_HI2324,1,SEM_C3_2,1,2
42,28018613,"Meylan, La Détourbe",12345-MFHLV20_ST0_20_HI2324-MFHLV21_ST0_21_HI2324,1,SEM_42_1,1,2
7,27973404,"Échirolles, Comboire",12345-MSILV00_ST21_0_HI2324,1,SEM_C7_2,1,2
